instance,shape_0,shape_1,shape_2,volume,class_idx,class_label,class_volume,class_volume_ratio,compactness,std,mean_intensity,std_intensity,min_intensity,max_intensity,modality,n_training_samples,n_test_samples,n_channels,n_classes,source
prostate_16,320,320,20,2048000,0,background,1823713,0.89048486328125,0.03760578644935935,0.31228444013146667,579.81470768701,566.7903499217689,0.0,3754.0,4,32,16,2,3,mp-MRI
prostate_16,320,320,20,2048000,1,PZ,8264,0.00403515625,0.005417650476341925,0.0633945878134569,970.1228823814133,636.3357814330128,44.0,2150.0,4,32,16,2,3,mp-MRI
prostate_16,320,320,20,2048000,2,TZ,216023,0.10547998046875,0.09466873447722357,0.3071708876001469,900.5458284534517,580.1638391445452,0.0,3698.0,4,32,16,2,3,mp-MRI
prostate_04,320,320,15,1536000,0,background,1460345,0.9507454427083334,0.030023782286267196,0.21639904315331135,473.16907374627226,489.6078553772084,0.0,3324.0,4,32,16,2,3,mp-MRI
prostate_04,320,320,15,1536000,1,PZ,10847,0.007061848958333334,0.007115551966251958,0.08373756174873387,1112.0480317138379,652.3128451420082,102.0,2464.0,4,32,16,2,3,mp-MRI
prostate_04,320,320,15,1536000,2,TZ,64808,0.042192708333333336,0.07696957511267725,0.20102856438036737,868.6525969016171,552.2486097216239,54.0,2412.0,4,32,16,2,3,mp-MRI
prostate_32,320,320,20,2048000,0,background,2022312,0.98745703125,0.04182467047881779,0.11129080233755423,217.60224955397584,324.4787441800701,0.0,2860.0,4,32,16,2,3,mp-MRI
prostate_32,320,320,20,2048000,1,PZ,25688,0.01254296875,0.06452480970899083,0.11129080233755423,766.6480457801308,567.7712928009942,0.0,2238.0,4,32,16,2,3,mp-MRI
prostate_32,320,320,20,2048000,2,TZ,0,0.0,,"[nan, nan, nan]",,,,,4,32,16,2,3,mp-MRI
prostate_20,320,320,20,2048000,0,background,1983316,0.968416015625,0.04104330979986366,0.17488978330937355,592.1619560372628,559.9911621204752,0.0,3248.0,4,32,16,2,3,mp-MRI
prostate_20,320,320,20,2048000,1,PZ,9786,0.0047783203125,0.01390785506838483,0.06896004616798897,1049.5573267933783,578.3574333376205,0.0,2393.0,4,32,16,2,3,mp-MRI
prostate_20,320,320,20,2048000,2,TZ,54898,0.0268056640625,0.08812686932622446,0.16151507804743287,903.7165015118948,553.7197987504833,0.0,3007.0,4,32,16,2,3,mp-MRI
prostate_43,320,320,20,2048000,0,background,2010401,0.98164111328125,0.04161921552061972,0.1342454393906853,347.7208499697324,490.4081110500825,0.0,3492.0,4,32,16,2,3,mp-MRI
prostate_43,320,320,20,2048000,1,PZ,24021,0.01172900390625,0.04432073646065227,0.10766352387701739,1162.1163357062571,650.0792988618416,1.0,2433.0,4,32,16,2,3,mp-MRI
prostate_43,320,320,20,2048000,2,TZ,13578,0.0066298828125,0.08188888694323129,0.08115372737214567,855.4704301075269,522.4009309926573,0.0,2176.0,4,32,16,2,3,mp-MRI
prostate_18,256,256,18,1179648,0,background,1134482,0.9617123074001737,0.04553917154399089,0.19188992989525924,259.20663571568343,329.4425489754664,0.0,3113.0,4,32,16,2,3,mp-MRI
prostate_18,256,256,18,1179648,1,PZ,45166,0.03828769259982639,0.16363908159236867,0.19188992989525924,707.1322787052208,449.5385675178247,0.0,2690.0,4,32,16,2,3,mp-MRI
prostate_18,256,256,18,1179648,2,TZ,0,0.0,,"[nan, nan, nan]",,,,,4,32,16,2,3,mp-MRI
prostate_06,320,320,20,2048000,0,background,2004713,0.97886376953125,0.04150270182703648,0.1438384170877928,561.2143546233301,591.3857155304783,0.0,3370.0,4,32,16,2,3,mp-MRI
prostate_06,320,320,20,2048000,1,PZ,10730,0.0052392578125,0.03282575843900423,0.0721928527630964,895.2442218080149,605.3821585769406,0.0,2366.0,4,32,16,2,3,mp-MRI
prostate_06,320,320,20,2048000,2,TZ,32557,0.01589697265625,0.09842793535090345,0.1250770119431085,780.6338575421569,589.3074463813443,0.0,2941.0,4,32,16,2,3,mp-MRI
prostate_14,320,320,20,2048000,0,background,2013570,0.9831884765625,0.04169632793185819,0.12856475456831234,300.7411455772583,394.85527240434243,0.0,2974.0,4,32,16,2,3,mp-MRI
prostate_14,320,320,20,2048000,1,PZ,9701,0.00473681640625,0.0254302859691869,0.06866133538304847,904.6879187712607,488.9246343558483,82.0,1907.0,4,32,16,2,3,mp-MRI
prostate_14,320,320,20,2048000,2,TZ,24729,0.01207470703125,0.07654492950371995,0.10921954257988574,854.0300659145133,517.2039104639787,0.0,2466.0,4,32,16,2,3,mp-MRI
prostate_41,256,256,18,1179648,0,background,1151325,0.9759902954101562,0.04664038911380464,0.15307919086326588,336.2890951729529,449.10175064630806,0.0,3054.0,4,32,16,2,3,mp-MRI
prostate_41,256,256,18,1179648,1,PZ,11608,0.009840223524305556,0.0568717104702414,0.09870862943682912,901.3092694693315,587.8343254289708,0.0,2023.0,4,32,16,2,3,mp-MRI
prostate_41,256,256,18,1179648,2,TZ,16715,0.014169481065538194,0.1876017524196632,0.11818928408223622,833.7611127729584,568.4667948671104,44.0,2387.0,4,32,16,2,3,mp-MRI
prostate_34,320,320,15,1536000,0,background,1492208,0.9714895833333334,0.030903766745165016,0.16642587782000667,256.51307994595925,400.67390572982714,0.0,2880.0,4,32,16,2,3,mp-MRI
prostate_34,320,320,15,1536000,1,PZ,15128,0.009848958333333333,0.03231679805580049,0.09875199417268296,873.555360920148,564.0744686559846,60.0,2319.0,4,32,16,2,3,mp-MRI
prostate_34,320,320,15,1536000,2,TZ,28664,0.018661458333333332,0.07641663136009264,0.13532630308334967,810.7720660061401,567.3736053011002,0.0,2741.0,4,32,16,2,3,mp-MRI
