instance,shape_0,shape_1,shape_2,volume,class_idx,class_label,class_volume,class_volume_ratio,compactness,std,mean_intensity,std_intensity,min_intensity,max_intensity,modality,n_training_samples,n_test_samples,n_channels,n_classes,source
hepaticvessel_001,512,512,49,12845056,0,background,12835641,0.9992670331682477,0.06450095499383585,0.0270634364295403,-673.6652880054841,469.57269125698576,-1024.0,1289.0,3,303,140,1,3,CT
hepaticvessel_001,512,512,49,12845056,1,Vessel,8887,0.0006918615224410077,0.002258293829399986,0.02629415999941351,164.8375154720378,18.37493612294764,87.0,240.0,3,303,140,1,3,CT
hepaticvessel_001,512,512,49,12845056,2,Tumour,528,4.110530931122449e-05,0.048247883159129375,0.006411210467982503,116.66856060606061,22.80055978953201,-17.0,168.0,3,303,140,1,3,CT
hepaticvessel_002,512,512,66,17301504,0,background,17267136,0.9980135830965909,0.08620230841335658,0.044524948638880596,-537.5220211388848,480.2797288761418,-1024.0,1247.0,3,303,140,1,3,CT
hepaticvessel_002,512,512,66,17301504,1,Vessel,25570,0.0014779061982125947,0.004510015009843035,0.03841512711786661,114.21642549863121,21.460372937595277,18.0,207.0,3,303,140,1,3,CT
hepaticvessel_002,512,512,66,17301504,2,Tumour,8798,0.0005085107051964962,0.11915754989588992,0.022544447699138815,74.27960900204592,15.534502667088253,18.0,141.0,3,303,140,1,3,CT
hepaticvessel_004,512,512,43,11272192,0,background,11240206,0.9971623975177144,0.05653714209424797,0.0531935192898362,-716.3387167459387,439.52355357428996,-1024.0,1266.0,3,303,140,1,3,CT
hepaticvessel_004,512,512,43,11272192,1,Vessel,11157,0.0009897808695948401,0.004932768325391838,0.03144520954652714,162.12028323025902,24.82111419637238,64.0,262.0,3,303,140,1,3,CT
hepaticvessel_004,512,512,43,11272192,2,Tumour,20829,0.0018478216126907704,0.08733866857316143,0.042946561771327316,116.42594459647607,18.988919120902963,-11.0,185.0,3,303,140,1,3,CT
hepaticvessel_005,512,512,41,10747904,0,background,10720725,0.9974712278784775,0.05394877562800011,0.05022327580992669,-706.5305094571496,442.89779774198297,-1024.0,1240.0,3,303,140,1,3,CT
hepaticvessel_005,512,512,41,10747904,1,Vessel,11454,0.0010656961580602134,0.0024403231978769022,0.03262760257449097,185.59594901344508,26.476661878701073,48.0,289.0,3,303,140,1,3,CT
hepaticvessel_005,512,512,41,10747904,2,Tumour,15725,0.0014630759634622714,0.12316524614717421,0.03822218429377676,151.91942766295708,27.667697573535136,-45.0,228.0,3,303,140,1,3,CT
hepaticvessel_007,512,512,50,13107200,0,background,12925378,0.9861280822753906,0.06451603569300819,0.11695934175281097,-599.4501602196857,482.17348406030214,-1024.0,1247.0,3,303,140,1,3,CT
hepaticvessel_007,512,512,50,13107200,1,Vessel,12520,0.0009552001953125,0.002363957194866406,0.030891548810304002,162.85623003194888,25.354318582272455,60.0,269.0,3,303,140,1,3,CT
hepaticvessel_007,512,512,50,13107200,2,Tumour,169302,0.012916717529296875,0.07774053811683752,0.11291534854733067,99.34509338342134,30.277383468031967,-50.0,235.0,3,303,140,1,3,CT
hepaticvessel_008,512,512,47,12320768,0,background,12302886,0.9985486294360871,0.06184340922503042,0.03806920129709963,-639.0257343683426,469.47419199441885,-1024.0,3071.0,3,303,140,1,3,CT
hepaticvessel_008,512,512,47,12320768,1,Vessel,16388,0.0013301118891289893,0.00327603601261275,0.036446435923027626,202.2415181840371,29.99499599368518,86.0,305.0,3,303,140,1,3,CT
hepaticvessel_008,512,512,47,12320768,2,Tumour,1494,0.00012125867478390957,0.10706953468684922,0.011011084011926176,134.2202141900937,18.493070983078507,79.0,245.0,3,303,140,1,3,CT
hepaticvessel_010,512,512,49,12845056,0,background,12820837,0.9981145274882414,0.0643717535984684,0.04338107312142071,-601.9957822566498,459.00998490492157,-1024.0,982.0,3,303,140,1,3,CT
hepaticvessel_010,512,512,49,12845056,1,Vessel,11824,0.0009205098054846938,0.0022872140805422323,0.03032593720205016,122.99653247631935,14.266619755982862,64.0,180.0,3,303,140,1,3,CT
hepaticvessel_010,512,512,49,12845056,2,Tumour,12395,0.0009649627062739159,0.07122102715927081,0.031048857519229072,56.50125050423558,21.28059666272722,-40.0,130.0,3,303,140,1,3,CT
hepaticvessel_011,512,512,37,9699328,0,background,9676723,0.9976694261705553,0.048736170213893815,0.04821972889876229,-635.5144802636182,483.7734251587742,-1024.0,1369.0,3,303,140,1,3,CT
hepaticvessel_011,512,512,37,9699328,1,Vessel,20147,0.0020771542110958616,0.002840565960754592,0.04552844870494924,167.42959249516056,28.544589869330377,63.0,273.0,3,303,140,1,3,CT
